country,hdi_rank_2019,hdi_cat_2019,hdi_2019,maternal_mortality_ratio_2017,adolescent_birth_rate_2015_2020,female_parliament_2019,seconday_educ_female_2015_2019,secondary_educ_male_2015_2019,labour_force_participation_female_2019,labour_force_participation_male_2019,life_expectancy_2019,schooling_expectancy_2019,schooling_mean_2019,gross_national_income_2019
Rwanda,160,low,0.543,248,39.1,55.7,10.9,15.8,83.9,83.4,69,11.2,4.4,2155
Nigeria,161,low,0.539,917,107.3,4.1,NA,NA,47.9,57.9,54.7,10,6.7,4910
Côte d'Ivoire,162,low,0.538,617,117.6,13.3,17.9,34.4,48.2,65.5,57.8,10,5.3,5069
Tanzania (United Republic of),163,low,0.529,524,118.4,36.9,12,16.9,79.6,87.3,65.5,8.1,6.1,2600
Madagascar,164,low,0.528,335,109.6,16.9,NA,NA,83.4,88.9,67,10.2,6.1,1596
Lesotho,165,low,0.527,544,92.7,23,33,25.5,60.2,75.9,54.3,11.3,6.5,3151
Djibouti,166,low,0.524,248,18.8,26.2,NA,NA,50.7,68.8,67.1,6.8,4.1,5689
Togo,167,low,0.515,396,89.1,16.5,27.6,54.4,76.3,78.9,61,12.7,4.9,1602
Senegal,168,low,0.512,315,72.7,41.8,10.3,26.5,35,57.5,67.9,8.6,3.2,3309
Afghanistan,169,low,0.511,638,69,27.2,13.2,36.9,21.6,74.7,64.8,10.2,3.9,2229
Haiti,170,low,0.51,480,51.7,2.7,26.9,40,61.9,72.8,64,9.7,5.6,1709
Sudan,170,low,0.51,295,64,27.5,15.4,19.5,29.1,68.2,65.3,7.9,3.8,3829
Gambia,172,low,0.496,597,78.2,10.3,31.5,44.4,51.2,68,62.1,9.9,3.9,2168
Ethiopia,173,low,0.485,401,66.7,37.3,11.5,22.6,73.4,85.8,66.6,8.8,2.9,2207
Malawi,174,low,0.483,349,132.7,22.9,17.6,26.1,72.6,81.1,64.3,11.2,4.7,1035
Congo (Democratic Republic of the),175,low,0.48,473,124.2,12,36.7,65.8,60.7,66.3,60.7,9.7,6.8,1063
Guinea-Bissau,175,low,0.48,667,104.8,13.7,NA,NA,65.8,78.7,58.3,10.6,3.6,1996
Liberia,175,low,0.48,661,136,11.7,18.5,40.1,72.1,80.6,64.1,9.6,4.8,1258
Guinea,178,low,0.477,576,135.3,22.8,NA,NA,62.7,60.2,61.6,9.4,2.8,2405
Yemen,179,low,0.47,164,60.4,1,19.9,36.9,5.8,70.2,66.1,8.8,3.2,1594
Eritrea,180,low,0.459,480,52.6,22,NA,NA,71.5,85.5,66.3,5,3.9,2793
Mozambique,181,low,0.456,289,148.6,41.2,14,19.9,77.3,79,60.9,10,3.5,1250
Burkina Faso,182,low,0.452,320,104.3,13.4,6.1,12.3,58.3,74.8,61.6,9.3,1.6,2133
Sierra Leone,182,low,0.452,1120,112.8,12.3,20.1,33,57.3,58.5,54.7,10.2,3.7,1668
Mali,184,low,0.434,562,169.1,9.5,7.3,16.4,61.2,80.6,59.3,7.5,2.4,2269
Burundi,185,low,0.433,548,55.6,38.8,7.5,11.4,80.4,77.8,61.6,11.1,3.3,754
South Sudan,185,low,0.433,1150,62,26.6,NA,NA,71,73.8,57.9,5.3,4.8,2003
Chad,187,low,0.398,1140,161.1,14.9,1.7,10.5,63.9,77.5,54.2,7.3,2.5,1555
Central African Republic,188,low,0.397,829,129.1,8.6,13.4,31.3,64.4,79.8,53.3,7.6,4.3,993
Niger,189,low,0.394,509,186.5,17,4.7,9,60.6,83.7,62.4,6.5,2.1,1201
