"countyfips","gps_workplaces"
21195,-0.0657
21197,NA
21199,-0.171
21203,0.0443
21205,-0.179
21207,NA
21209,-0.3
21211,-0.223
21213,-0.103
21215,-0.316
21217,-0.0657
21219,NA
21221,NA
21223,NA
21225,NA
21227,-0.119
21229,NA
21231,NA
21233,NA
21235,-0.08
21239,-0.171
22001,-0.229
22003,-0.179
22005,-0.0529
22007,-0.299
22009,-0.223
22011,-0.0671
22013,NA
22015,-0.16
22017,-0.119
22019,-0.17
22021,NA
22023,NA
22027,NA
22029,-0.253
22031,-0.12
22033,-0.239
22037,NA
22039,-0.261
22041,NA
22043,0.04
22045,-0.144
22047,-0.29
22049,NA
22051,-0.25
22053,-0.159
22055,-0.121
22057,-0.337
22059,NA
22061,-0.267
22063,-0.0343
22065,-0.0757
22067,-0.141
22069,-0.171
22071,-0.334
22073,-0.126
22075,-0.311
22077,NA
22079,-0.154
22081,NA
22083,-0.0643
22085,-0.171
22087,-0.256
22089,-0.359
22091,NA
22093,-0.371
22095,-0.293
22097,-0.151
22099,-0.134
22101,-0.207
22103,-0.246
22105,-0.12
22109,-0.306
22111,-0.166
22113,-0.244
22115,-0.09
22117,-0.134
22119,-0.163
22121,-0.151
22123,NA
22125,NA
22127,NA
23001,-0.121
23003,-0.156
23005,-0.177
23007,-0.179
23009,-0.0943
23011,-0.0343
23013,-0.0957
23015,-0.07
23017,-0.131
23019,-0.209
23021,NA
23023,-0.16
23025,-0.0829
23027,-0.129
23029,-0.0657
23031,-0.161
24001,-0.124
24003,-0.213
24005,-0.264
24009,-0.241
24011,-0.179
24013,-0.209
24015,-0.22
24017,-0.326
24019,-0.12
24021,-0.147
24023,-0.246
24025,-0.164
24027,-0.293
24029,NA
24031,-0.267
24033,-0.233
24035,-0.103
24037,-0.216
24039,-0.0986
24041,-0.25
24043,-0.0114
24045,-0.0543
24047,0.0529
24510,-0.233
25001,-0.0686
25003,-0.196
25005,-0.179
25007,NA
25009,-0.21
25011,-0.186
25013,-0.25
25015,-0.179
25017,-0.299
25019,NA
25021,-0.256
25023,-0.226
25025,-0.336
25027,-0.19
26001,NA
26003,NA
26005,-0.191
26007,0.0686
26009,-0.0514
26011,NA
26013,NA
26015,-0.0914
26017,-0.06
26019,-0.0429
26021,-0.13
26023,-0.05
26025,-0.127
26027,-0.0957
26029,0.0371
26031,0.246
26033,-0.0371
26035,-0.01
26037,-0.283
26039,-0.0943
26041,-0.167
26043,-0.194
26045,-0.00714
26047,0.0443
26049,-0.234
26051,0.0471
26053,-0.151
26055,-0.0971
26057,-0.0943
26059,-0.123
26061,0.136
26063,0.00571
26065,-0.247
26067,-0.08
26069,-0.0771
26071,NA
26073,-0.174
26075,-0.13
26077,-0.187
26079,-0.169
26081,-0.18
26085,NA
26087,-0.153
26089,NA
26091,-0.111
26093,-0.196
26097,NA
26099,-0.233
26101,-0.00286
26103,-0.166
26105,-0.0229
26107,-0.119
26109,0.121
26111,-0.123
26113,NA
26115,-0.114
26117,-0.01
26119,NA
26121,-0.107
26123,-0.0671
26125,-0.254
26127,-0.07
26129,-0.119
26133,-0.0114
26135,NA
26137,-0.0457
26139,-0.0729
26141,NA
26143,0.0386
26145,-0.19
26147,-0.0671
26149,-0.0457
26151,-0.11
26153,NA
26155,-0.124
26157,-0.171
26159,0.07
