"countyfips","vaccine_rate","fullvaccine_rate"
19051,34.6,32.6
19053,38.8,36.3
19055,50.5,48
19057,48.9,45.1
19059,56.1,52.5
19061,60.7,57.7
19063,49.4,45.1
19065,52.2,48.9
19067,50.3,47.9
19069,50.9,47.7
19071,49.1,45.8
19073,55.5,51.9
19075,59.2,55.3
19077,56,52.9
19079,58.9,55.7
19081,46.8,44.5
19083,52.5,49.9
19085,50.6,46.3
19087,51.5,47.9
19089,48.8,46.5
19091,47.6,44.4
19093,47.1,43.8
19095,59.3,56.3
19097,50.3,47.8
19099,55.5,51.8
19101,46.4,43
19103,67.9,64.1
19105,55.9,53.1
19107,44.6,41.7
19109,50.4,47.4
19111,48.6,45.2
19113,62.7,58.7
19115,49.1,46.2
19117,43.4,40.7
19119,38.8,36.4
19121,51.5,47.9
19123,41.8,38.7
19125,50.4,47
19127,61.3,56.6
19129,52.6,48.5
19131,46.3,44.3
19133,51.3,48.9
19135,43.9,41.2
19137,54.5,50
19139,56.9,53
19141,48.3,45.5
19143,43.1,40.9
19145,51.3,47.2
19147,48.1,45.5
19149,49.1,46.5
19151,50.4,47.5
19153,63.6,58.3
19155,54.6,50
19157,55.8,52.2
19159,49,46.3
19161,50.1,47.2
19163,58.5,52.3
19165,56.4,53.6
19167,39.6,37.3
19169,59.6,56
19171,59.6,55.4
19173,44.5,42
19175,49.2,45.7
19177,40.1,37.2
19179,46.6,43.4
19181,56.5,52.4
19183,54.3,51
19185,40,37.4
19187,55.5,51.1
19189,50.1,46.8
19191,58.6,55.5
19193,53.4,48.7
19195,49.3,46.5
19197,54,51.2
20001,43.5,39
20003,41.9,37.4
20005,43.4,39
20007,46.1,41.4
20009,41.7,37.4
20011,35.6,32.6
20013,56.9,52.4
20015,46,40.7
20017,42.4,39.7
20019,40.2,36.3
20021,44.8,40
20023,44.1,39.7
20025,45.2,41.7
20027,54.1,50.3
20029,45.7,41.3
20031,50.9,45.9
20033,45.7,41.7
20035,46,41.2
20037,46.1,41.8
20039,38.5,35.4
20041,50.4,46.3
20043,46.3,42.1
