"id","mntlhlth","degree"
2122,2,"High school"
2124,0,"Some college"
2126,0,"High school"
2128,3,"High school"
2129,0,"College degree"
2130,0,"Less than high school"
2133,15,"Grad/Prof degree"
2134,0,"Grad/Prof degree"
2135,1,"High school"
2137,0,"High school"
2138,0,"Grad/Prof degree"
2139,20,"Less than high school"
2140,0,"High school"
2145,0,"High school"
2151,20,"Less than high school"
2153,0,"High school"
2154,1,"High school"
2155,10,"High school"
2156,0,"College degree"
2157,2,"High school"
2158,0,"High school"
2160,5,"High school"
2161,0,"High school"
2162,30,"Grad/Prof degree"
2163,0,"High school"
2165,2,"High school"
2166,0,"Some college"
2167,1,"High school"
2168,0,"Less than high school"
2169,0,"High school"
2172,5,"High school"
2173,15,"High school"
2174,0,"High school"
2175,0,"High school"
2176,0,"High school"
2181,7,"High school"
2183,0,"High school"
2185,0,"High school"
2187,2,"High school"
2188,0,"High school"
2189,20,"High school"
2190,2,"College degree"
2191,0,"High school"
2192,0,"Grad/Prof degree"
2193,7,"College degree"
2197,2,"High school"
2199,10,"Grad/Prof degree"
2201,3,"High school"
2202,3,"High school"
2204,15,"High school"
2205,0,"Some college"
2206,3,"High school"
2207,0,"Grad/Prof degree"
2208,3,"High school"
2209,0,"Some college"
2211,5,"Grad/Prof degree"
2217,10,"College degree"
2218,0,"High school"
2223,0,"Less than high school"
2224,0,"High school"
2225,3,"Grad/Prof degree"
2226,2,"College degree"
2227,5,"High school"
2228,1,"Less than high school"
2229,0,"High school"
2230,5,"High school"
2233,2,"College degree"
2234,15,"Less than high school"
2235,0,"Less than high school"
2236,0,"High school"
2238,15,"Less than high school"
2240,0,"High school"
2242,5,"Less than high school"
2243,0,"High school"
2245,0,"High school"
2248,0,"High school"
2249,10,"High school"
2250,0,"Some college"
2252,5,"Grad/Prof degree"
2254,0,"High school"
2256,5,"High school"
2257,15,"High school"
2260,0,"Less than high school"
2263,0,"Less than high school"
2267,0,"High school"
2270,0,"High school"
2272,0,"Less than high school"
2273,0,"Some college"
2275,15,"Some college"
2276,2,"Some college"
