"county_fips","name","hhincome"
36059,"Nassau County, NY",41503
27009,"Benton County, MN",41492
56033,"Sheridan County, WY",41487
48483,"Wheeler County, TX",41486
19177,"Van Buren County, IA",41480
55015,"Calumet County, WI",41455
30017,"Custer County, MT",41444
16049,"Idaho County, ID",41438
27013,"Blue Earth County, MN",41413
20189,"Stevens County, KS",41314
8095,"Phillips County, CO",41292
38035,"Grand Forks County, ND",41291
20095,"Kingman County, KS",41285
48413,"Schleicher County, TX",41284
49005,"Cache County, UT",41279
39137,"Putnam County, OH",41279
46027,"Clay County, SD",41253
49015,"Emery County, UT",41206
39075,"Holmes County, OH",41197
27027,"Clay County, MN",41172
29041,"Chariton County, MO",41172
18007,"Benton County, IN",41124
19085,"Harrison County, IA",41122
48433,"Stonewall County, TX",41120
19137,"Montgomery County, IA",41113
27163,"Washington County, MN",41103
55089,"Ozaukee County, WI",41097
8039,"Elbert County, CO",41075
16063,"Lincoln County, ID",41075
40149,"Washita County, OK",41058
32027,"Pershing County, NV",41055
20049,"Elk County, KS",41035
8027,"Custer County, CO",41025
49049,"Utah County, UT",41021
17133,"Monroe County, IL",40994
46019,"Butte County, SD",40963
48435,"Sutton County, TX",40871
55095,"Polk County, WI",40870
46095,"Mellette County, SD",40868
30001,"Beaverhead County, MT",40859
26083,"Keweenaw County, MI",40843
49041,"Sevier County, UT",40835
27025,"Chisago County, MN",40790
46005,"Beadle County, SD",40787
48175,"Goliad County, TX",40776
56041,"Uinta County, WY",40772
8051,"Gunnison County, CO",40767
31031,"Cherry County, NE",40748
19185,"Wayne County, IA",40740
42063,"Indiana County, PA",40738
31067,"Gage County, NE",40674
30059,"Meagher County, MT",40674
19051,"Davis County, IA",40669
56037,"Sweetwater County, WY",40666
8067,"La Plata County, CO",40638
27047,"Freeborn County, MN",40638
29103,"Knox County, MO",40633
20149,"Pottawatomie County, KS",40629
48135,"Ector County, TX",40622
48211,"Hemphill County, TX",40579
26063,"Huron County, MI",40563
17189,"Washington County, IL",40524
29205,"Shelby County, MO",40516
19195,"Worth County, IA",40511
