"id","hrs1","class","region","racehisp"
793,41,"Working","Middle Atlantic","White"
794,50,"Working","Middle Atlantic","White"
797,56,"Working","Middle Atlantic","White"
799,40,"Middle","Middle Atlantic","White"
802,65,"Working","Middle Atlantic","White"
803,45,"Working","Middle Atlantic","White"
804,45,"Middle","Middle Atlantic","White"
805,40,"Working","Middle Atlantic","White"
806,35,"Working","Middle Atlantic","White"
807,50,"Middle","Middle Atlantic","White"
808,55,"Working","Middle Atlantic","White"
809,25,"Middle","Middle Atlantic","White"
810,40,"Middle","Middle Atlantic","White"
812,63,"Working","Middle Atlantic","White"
815,42,"Middle","Middle Atlantic","White"
817,50,"Middle","Middle Atlantic","Hispanic"
818,56,"Middle","Middle Atlantic","White"
819,40,"Working","Middle Atlantic","Hispanic"
821,40,"Working","Middle Atlantic","White"
822,40,"Working","Middle Atlantic","White"
823,40,"Working","Middle Atlantic","White"
826,40,"Middle","Middle Atlantic","White"
828,35,"Working","Middle Atlantic","White"
829,40,"Working","Middle Atlantic","Black"
831,45,"Working","Middle Atlantic","White"
832,40,"Working","Middle Atlantic","Black"
840,30,"Working","Middle Atlantic","White"
842,40,"Working","Middle Atlantic","White"
843,50,"Middle","Middle Atlantic","White"
845,40,"Working","Middle Atlantic","White"
850,80,"Middle","Midwest","White"
852,50,"Working","Midwest","White"
853,58,"Working","Midwest","White"
856,24,"Working","Midwest","Other"
858,36,"Working","Midwest","White"
859,61,"Working","Midwest","White"
860,33,"Lower","Midwest","White"
864,35,"Working","Midwest","White"
866,40,"Lower","Midwest","White"
869,60,"Working","Midwest","Hispanic"
870,24,"Working","Midwest","White"
873,21,"Middle","Midwest","White"
882,40,"Middle","Midwest","White"
884,43,"Working","Midwest","White"
887,40,"Working","Midwest","White"
890,48,"Working","Midwest","White"
891,45,"Lower","Midwest","White"
892,70,"Middle","Midwest","White"
893,45,"Middle","Midwest","White"
894,40,"Working","Midwest","White"
899,34,"Middle","Midwest","White"
900,43,"Working","Midwest","White"
906,40,"Working","Midwest","White"
907,42,"Working","Midwest","White"
908,40,"Middle","Midwest","White"
910,45,"Middle","Midwest","White"
911,8,"Working","Midwest","White"
912,50,"Middle","Midwest","White"
913,60,"Middle","Midwest","White"
918,45,"Middle","Midwest","White"
919,60,"Middle","Midwest","White"
920,40,"Working","Midwest","White"
922,20,"Working","Midwest","White"
926,60,"Middle","Midwest","White"
929,50,"Middle","Midwest","White"
931,48,"Working","Midwest","Hispanic"
933,40,"Middle","Midwest","Other"
934,45,"Middle","Midwest","White"
935,45,"Middle","Midwest","White"
938,45,"Middle","Midwest","White"
941,4,"Middle","Midwest","White"
943,40,"Working","Midwest","White"
944,40,"Lower","Midwest","White"
945,25,"Middle","Midwest","White"
946,60,"Working","Midwest","White"
947,40,"Middle","Midwest","White"
949,65,"Middle","Midwest","White"
950,20,"Middle","Midwest","White"
952,60,"Middle","Midwest","Other"
954,40,"Middle","Midwest","White"
956,48,"Upper","Midwest","White"
957,40,"Working","Midwest","White"
958,35,"Middle","Midwest","White"
959,45,"Middle","Midwest","Hispanic"
963,24,"Working","Midwest","White"
964,50,"Working","Midwest","Black"
965,45,"Middle","Midwest","White"
967,45,"Middle","Midwest","White"
968,48,"Working","Midwest","White"
969,40,"Working","Midwest","White"
970,50,"Working","Midwest","White"
971,65,"Working","Midwest","White"
975,50,"Middle","Midwest","White"
976,32,"Middle","Midwest","White"
977,42,"Middle","Midwest","White"
978,30,"Middle","Midwest","White"
981,65,"Middle","Midwest","White"
982,40,"Working","Midwest","White"
983,40,"Working","Midwest","White"
984,40,"Middle","Midwest","White"
988,50,"Working","Midwest","White"
989,32,"Middle","Midwest","Black"
993,60,"Working","Midwest","White"
996,48,"Working","Midwest","White"
998,35,"Middle","Midwest","White"
999,60,"Middle","Midwest","White"
1000,52,"Working","Midwest","White"
1001,35,"Middle","Midwest","White"
1003,47,"Middle","Midwest","White"
1005,74,"Working","South","White"
1007,24,"Middle","South","White"
1008,32,"Middle","Midwest","White"
1012,12,"Middle","Midwest","White"
1013,46,"Working","Midwest","Hispanic"
1014,40,"Working","Midwest","White"
1015,45,"Working","Midwest","Hispanic"
1016,40,"Working","Midwest","White"
1017,48,"Working","Midwest","White"
1020,15,"Working","Midwest","White"
1022,44,"Working","Midwest","White"
1023,50,"Middle","Midwest","White"
1025,50,"Upper","Midwest","White"
1026,40,"Middle","Midwest","Other"
1029,44,"Working","Midwest","White"
1030,46,"Working","Midwest","White"
1031,50,"Working","Midwest","White"
1033,40,"Working","Midwest","White"
1034,40,"Working","Midwest","White"
1036,16,"Middle","Midwest","White"
1039,48,"Working","Midwest","Black"
1042,40,"Middle","Midwest","White"
1043,40,"Middle","Midwest","White"
1045,45,"Working","Midwest","White"
1049,50,"Lower","Midwest","Hispanic"
1052,40,"Middle","Midwest","White"
1053,49,"Working","Midwest","White"
1054,60,"Middle","Midwest","White"
1058,40,"Middle","South","White"
1061,20,"Middle","South","White"
1062,20,"Middle","South","White"
1063,80,"Working","South","Black"
1064,42,"Middle","South","Black"
1065,43,"Working","South","Black"
1066,25,"Working","South","White"
1067,89,"Middle","South","Black"
1068,48,"Middle","South","White"
1073,52,"Working","South","Black"
1074,40,"Middle","South","Black"
1076,50,"Middle","South","White"
1078,22,"Working","South","White"
1079,40,"Working","South","White"
1081,40,"Middle","South","White"
1082,40,"Middle","South","White"
1083,50,"Working","South","Black"
1084,42,"Working","South","White"
1086,40,"Working","South","Black"
1096,40,"Middle","South","White"
1097,23,"Middle","South","Other"
1098,36,"Working","South","White"
1101,46,"Middle","South","White"
1102,40,"Working","South","White"
1103,65,"Middle","South","White"
1104,32,"Working","South","White"
1106,26,"Working","South","White"
1108,70,"Middle","South","White"
1109,50,"Middle","South","White"
1110,78,"Working","South","White"
1111,40,"Working","South","White"
1112,52,"Middle","South","White"
1114,40,"Middle","South","White"
1116,40,"Middle","South","Black"
1117,30,"Working","South","Hispanic"
1118,46,"Working","South","Black"
1119,80,"Working","South","Black"
1121,40,"Working","South","Black"
1123,50,"Working","South","Black"
1125,50,"Working","South","Black"
1130,49,"Working","South","Black"
1133,40,"Working","South","Black"
1135,40,"Middle","South","Black"
1136,40,"Middle","South","White"
1138,60,"Working","South","Black"
1139,40,"Middle","South","White"
1141,24,"Upper","South","White"
